"produit_id,nom_produit,categorie,prix"
"101,Ordinateur portable,Électronique,"
"102,Souris sans fil,Électronique,-10.0"
"103,Clavier mécanique,Électronique,75.0"
"104,Casque audio,Électronique,59.99"
"105,Livre 'Data Science',Livre,19.99"
"106,Livre 'Python avancé',Livre,24.5"
"107,Cahier A4,Papeterie,3.5"
"108,Stylo plume,Papeterie,12.0"
"109,Sac à dos,Voyage,39.99"
"110,Gourde isotherme,Voyage,15.75"
"111,Chargeur USB,Électronique,14.99"
"112,Disque dur 1To,Électronique,65.0"
"113,Imprimante laser,Bureau,159.99"
"114,Ramette de papier,Bureau,5.99"
"115,Lampe de bureau,Bureau,29.99"
"116,Produit_116,Papeterie,272.12"
"117,Produit_117,Sport,429.14"
"118,Produit_118,Papeterie,394.14"
"119,Produit_119,Bureau,29.18"
"120,Produit_120,Papeterie,328.28"
"121,Produit_121,Mode,375.38"
"122,Produit_122,Livre,348.45"
"123,Produit_123,Mode,118.57"
"124,Produit_124,Bureau,384.71"
"125,Produit_125,Papeterie,116.78"
"126,Produit_126,Sport,426.12"
"127,Produit_127,Sport,356.38"
"128,Produit_128,Électronique,379.94"
"129,Produit_129,Livre,156.88"
"130,Produit_130,Sport,297.69"
"101,Ordinateur portable,Électronique,"
"102,Souris sans fil,Électronique,-10.0"
"103,Clavier mécanique,Électronique,75.0"
